Product_Name,Price_Bought,Quantity_Bought,Price_Sold,Quantity_Sold,Start_Date,End_Date
Surf Excel Chocolate 250g,136.34,142,169.69,124,01-05-2025,07-05-2025
Coca-Cola Oil 500g,115.15,189,139.49,153,01-05-2025,07-05-2025
Tata Biscuit 100g,117.49,259,152.01,190,01-05-2025,07-05-2025
Nescafé Shampoo 6x250ml,269.72,368,348.05,220,01-05-2025,07-05-2025
Amul Sanitizer 100g,66.89,303,81.12,275,01-05-2025,07-05-2025
Cadbury Lentils 750g,143.73,396,166.5,318,01-05-2025,07-05-2025
Amul Ketchup 750g,30.22,388,33.68,249,01-05-2025,07-05-2025
Nescafé Noodles 250g,218.12,178,282.91,154,01-05-2025,07-05-2025
Maggi Chocolate 750g,283.71,394,366.49,275,01-05-2025,07-05-2025
Cadbury Ketchup 2kg,287.16,141,340.48,125,01-05-2025,07-05-2025
Colgate Noodles 750g,122.35,376,143.51,233,01-05-2025,07-05-2025
Coca-Cola Biscuit 1kg,192.45,185,230.53,148,01-05-2025,07-05-2025
Nestlé Biscuit 5kg,235.65,315,278.47,195,01-05-2025,07-05-2025
Haldiram Corn Flakes 1kg,228.41,313,282.0,231,01-05-2025,07-05-2025
Amul Energy Drink 250g,208.95,319,253.73,219,01-05-2025,07-05-2025
Tata Coffee 250g,222.09,136,252.22,118,01-05-2025,07-05-2025
Britannia Shampoo 750g,31.84,225,35.16,196,01-05-2025,07-05-2025
Coca-Cola Coffee 500g,263.23,314,325.55,200,01-05-2025,07-05-2025
Horlicks Salt 750g,143.82,209,184.8,173,01-05-2025,07-05-2025
Maggi Energy Drink 1L,21.74,211,28.4,165,01-05-2025,07-05-2025
Maggi Biscuit 1kg,168.13,285,198.48,182,01-05-2025,07-05-2025
Dettol Oil 250g,180.78,187,211.19,174,01-05-2025,07-05-2025
Nescafé Biscuit 500g,201.17,304,232.93,218,01-05-2025,07-05-2025
Lay's Detergent 100g,130.16,202,166.67,129,01-05-2025,07-05-2025
Nescafé Noodles 500g,115.37,172,145.96,119,01-05-2025,07-05-2025
Aashirvaad Atta 6x250ml,298.49,244,333.6,203,01-05-2025,07-05-2025
Nestlé Noodles 500g,256.82,258,306.88,164,01-05-2025,07-05-2025
Godrej Salt 6x250ml,263.79,218,320.24,173,01-05-2025,07-05-2025
Kellogg's Salt 500g,70.34,257,82.17,187,01-05-2025,07-05-2025
Coca-Cola Tea 1L,65.7,176,82.79,127,01-05-2025,07-05-2025
Haldiram Biscuit 100g,202.82,378,257.98,350,01-05-2025,07-05-2025
Pepsi Chips 1L,160.57,232,194.6,182,01-05-2025,07-05-2025
Kellogg's Shampoo 5kg,295.82,176,378.89,153,01-05-2025,07-05-2025
Surf Excel Oil 100g,194.14,248,236.88,233,01-05-2025,07-05-2025
Haldiram Biscuit 500g,191.25,244,244.71,159,01-05-2025,07-05-2025
Britannia Atta 1L,131.58,225,172.92,165,01-05-2025,07-05-2025
Parle Tea 500g,262.3,185,330.38,147,01-05-2025,07-05-2025
Lay's Lentils 2kg,42.99,256,49.86,237,01-05-2025,07-05-2025
Coca-Cola Salt 750g,250.02,135,277.68,104,01-05-2025,07-05-2025
Britannia Ketchup 100g,195.29,243,233.12,215,01-05-2025,07-05-2025
Dove Coffee 5kg,67.15,328,76.66,260,01-05-2025,07-05-2025
Kellogg's Salt 200g,22.68,137,25.06,112,01-05-2025,07-05-2025
Coca-Cola Chips 2kg,24.87,249,31.75,153,01-05-2025,07-05-2025
Tata Tea 6x250ml,264.37,185,331.12,165,01-05-2025,07-05-2025
Tata Oil 2kg,48.12,207,53.25,132,01-05-2025,07-05-2025
Surf Excel Tea 200g,224.05,233,251.16,150,01-05-2025,07-05-2025
Colgate Sanitizer 5kg,221.24,345,260.34,329,01-05-2025,07-05-2025
Parle Noodles 200g,260.34,141,306.0,97,01-05-2025,07-05-2025
Kellogg's Toothpaste 200g,30.14,185,36.7,165,01-05-2025,07-05-2025
Dettol Toothpaste 250g,68.03,311,77.38,220,01-05-2025,07-05-2025
Dettol Sanitizer 6x250ml,87.99,233,101.5,146,01-05-2025,07-05-2025
Haldiram Rice 1L,48.54,142,56.19,116,01-05-2025,07-05-2025
Colgate Oil 500g,139.89,236,176.86,183,01-05-2025,07-05-2025
Aashirvaad Energy Drink 500g,61.11,167,72.36,139,01-05-2025,07-05-2025
Surf Excel Sanitizer 500g,212.96,283,234.62,177,01-05-2025,07-05-2025
Haldiram Sanitizer 1kg,83.97,289,98.45,226,01-05-2025,07-05-2025
Horlicks Soap 750g,248.53,349,284.87,223,01-05-2025,07-05-2025
Pepsi Ketchup 5kg,216.45,141,263.48,99,01-05-2025,07-05-2025
Colgate Chocolate 1kg,31.78,381,37.38,234,01-05-2025,07-05-2025
Parle Toothpaste 6x250ml,70.3,181,90.68,145,01-05-2025,07-05-2025
Cadbury Chocolate 750g,234.71,277,267.03,249,01-05-2025,07-05-2025
Haldiram Ketchup 500g,279.12,361,350.74,310,01-05-2025,07-05-2025
Nestlé Toothpaste 200g,269.82,203,302.08,159,01-05-2025,07-05-2025
Nescafé Chocolate 5kg,29.46,297,35.4,292,01-05-2025,07-05-2025
Amul Noodles 500g,35.58,289,39.98,200,01-05-2025,07-05-2025
Godrej Biscuit 2kg,197.31,136,217.36,120,01-05-2025,07-05-2025
Coca-Cola Noodles 200g,140.75,174,158.34,120,01-05-2025,07-05-2025
Maggi Rice 1L,287.59,247,316.88,200,01-05-2025,07-05-2025
Pepsi Detergent 5kg,186.98,380,212.22,323,01-05-2025,07-05-2025
Colgate Soap 2kg,139.65,134,177.17,90,01-05-2025,07-05-2025
Dove Rice 750g,162.58,368,200.64,256,01-05-2025,07-05-2025
Lay's Noodles 500g,275.04,323,308.38,245,01-05-2025,07-05-2025
Nescafé Atta 5kg,286.09,349,357.36,308,01-05-2025,07-05-2025
Kellogg's Sanitizer 2kg,84.39,282,107.98,182,01-05-2025,07-05-2025
Horlicks Ketchup 5kg,212.14,267,270.22,205,01-05-2025,07-05-2025
Cadbury Oil 100g,144.25,253,166.99,234,01-05-2025,07-05-2025
Kellogg's Sanitizer 750g,262.37,318,301.59,236,01-05-2025,07-05-2025
Aashirvaad Shampoo 1kg,140.17,375,158.37,296,01-05-2025,07-05-2025
Britannia Butter 2kg,143.83,226,180.59,151,01-05-2025,07-05-2025
Parle Chocolate 250g,170.04,198,206.35,121,01-05-2025,07-05-2025
Maggi Atta 500g,106.65,219,127.68,141,01-05-2025,07-05-2025
Coca-Cola Biscuit 5kg,291.42,330,327.11,291,01-05-2025,07-05-2025
Nescafé Coffee 1L,264.79,120,314.04,111,01-05-2025,07-05-2025
Tata Shampoo 100g,133.66,192,149.22,125,01-05-2025,07-05-2025
Haldiram Oil 500g,61.49,229,70.78,170,01-05-2025,07-05-2025
Maggi Atta 2kg,69.93,283,86.07,245,01-05-2025,07-05-2025
Godrej Sanitizer 500g,84.09,249,99.04,233,01-05-2025,07-05-2025
Pepsi Biscuit 1kg,293.64,349,362.01,287,01-05-2025,07-05-2025
Surf Excel Biscuit 1kg,38.91,250,46.35,182,01-05-2025,07-05-2025
Coca-Cola Oil 1kg,268.86,150,317.47,134,01-05-2025,07-05-2025
Horlicks Ketchup 500g,73.61,367,91.24,292,01-05-2025,07-05-2025
Horlicks Salt 250g,158.05,359,174.0,324,01-05-2025,07-05-2025
Maggi Corn Flakes 1kg,25.47,293,30.38,176,01-05-2025,07-05-2025
Kellogg's Oil 100g,265.1,138,301.9,94,01-05-2025,07-05-2025
Amul Chocolate 1L,104.92,237,134.72,195,01-05-2025,07-05-2025
Pepsi Shampoo 6x250ml,232.12,372,280.89,288,01-05-2025,07-05-2025
Nescafé Toothpaste 500g,223.8,220,287.25,207,01-05-2025,07-05-2025
Coca-Cola Soap 2kg,131.77,136,149.28,129,01-05-2025,07-05-2025
Surf Excel Oil 1L,29.55,124,36.55,99,01-05-2025,07-05-2025
Amul Lentils 200g,130.05,224,145.45,140,01-05-2025,07-05-2025
Haldiram Butter 5kg,104.86,392,128.39,269,01-05-2025,07-05-2025
Surf Excel Toothpaste 200g,197.19,261,223.54,234,01-05-2025,07-05-2025
Godrej Chocolate 250g,148.2,214,187.27,167,01-05-2025,07-05-2025
Surf Excel Butter 250g,201.92,311,233.39,243,01-05-2025,07-05-2025
Kellogg's Sanitizer 100g,196.8,314,241.28,221,01-05-2025,07-05-2025
Dettol Butter 500g,204.08,294,259.93,287,01-05-2025,07-05-2025
Colgate Shampoo 100g,58.66,270,74.78,224,01-05-2025,07-05-2025
