Product_Name,Price_Bought,Quantity_Bought,Price_Sold,Quantity_Sold,Start_Date,End_Date
Surf Excel Chocolate 250g,136.34,279,171.94,193,22-05-2025,28-05-2025
Coca-Cola Oil 500g,115.15,356,140.12,237,22-05-2025,28-05-2025
Tata Biscuit 100g,117.49,253,148.25,167,22-05-2025,28-05-2025
Nescafé Shampoo 6x250ml,269.72,271,351.06,245,22-05-2025,28-05-2025
Amul Sanitizer 100g,66.89,377,79.78,363,22-05-2025,28-05-2025
Cadbury Lentils 750g,143.73,295,169.02,243,22-05-2025,28-05-2025
Amul Ketchup 750g,30.22,222,33.46,146,22-05-2025,28-05-2025
Nescafé Noodles 250g,218.12,339,277.73,221,22-05-2025,28-05-2025
Maggi Chocolate 750g,283.71,264,365.55,192,22-05-2025,28-05-2025
Cadbury Ketchup 2kg,287.16,210,341.64,142,22-05-2025,28-05-2025
Colgate Noodles 750g,122.35,251,142.9,198,22-05-2025,28-05-2025
Coca-Cola Biscuit 1kg,192.45,207,229.35,139,22-05-2025,28-05-2025
Nestlé Biscuit 5kg,235.65,371,276.17,350,22-05-2025,28-05-2025
Haldiram Corn Flakes 1kg,228.41,229,281.33,156,22-05-2025,28-05-2025
Amul Energy Drink 250g,208.95,280,253.93,270,22-05-2025,28-05-2025
Tata Coffee 250g,222.09,178,253.72,137,22-05-2025,28-05-2025
Britannia Shampoo 750g,31.84,398,35.49,278,22-05-2025,28-05-2025
Coca-Cola Coffee 500g,263.23,320,315.53,209,22-05-2025,28-05-2025
Horlicks Salt 750g,143.82,279,185.69,193,22-05-2025,28-05-2025
Maggi Energy Drink 1L,21.74,277,27.9,235,22-05-2025,28-05-2025
Maggi Biscuit 1kg,168.13,360,198.14,291,22-05-2025,28-05-2025
Dettol Oil 250g,180.78,269,215.18,225,22-05-2025,28-05-2025
Nescafé Biscuit 500g,201.17,333,234.93,248,22-05-2025,28-05-2025
Lay's Detergent 100g,130.16,198,165.99,168,22-05-2025,28-05-2025
Nescafé Noodles 500g,115.37,390,145.59,300,22-05-2025,28-05-2025
Aashirvaad Atta 6x250ml,298.49,277,325.5,168,22-05-2025,28-05-2025
Nestlé Noodles 500g,256.82,129,302.15,88,22-05-2025,28-05-2025
Godrej Salt 6x250ml,263.79,336,316.87,291,22-05-2025,28-05-2025
Kellogg's Salt 500g,70.34,392,83.41,341,22-05-2025,28-05-2025
Coca-Cola Tea 1L,65.7,348,81.19,341,22-05-2025,28-05-2025
Haldiram Biscuit 100g,202.82,245,258.59,173,22-05-2025,28-05-2025
Pepsi Chips 1L,160.57,125,198.6,107,22-05-2025,28-05-2025
Kellogg's Shampoo 5kg,295.82,217,378.25,139,22-05-2025,28-05-2025
Surf Excel Oil 100g,194.14,313,235.74,285,22-05-2025,28-05-2025
Haldiram Biscuit 500g,191.25,395,248.0,377,22-05-2025,28-05-2025
Britannia Atta 1L,131.58,221,171.47,158,22-05-2025,28-05-2025
Parle Tea 500g,262.3,356,332.18,334,22-05-2025,28-05-2025
Lay's Lentils 2kg,42.99,196,49.89,118,22-05-2025,28-05-2025
Coca-Cola Salt 750g,250.02,274,274.37,253,22-05-2025,28-05-2025
Britannia Ketchup 100g,195.29,310,234.41,187,22-05-2025,28-05-2025
Dove Coffee 5kg,67.15,369,75.25,329,22-05-2025,28-05-2025
Kellogg's Salt 200g,22.68,156,24.78,137,22-05-2025,28-05-2025
Coca-Cola Chips 2kg,24.87,253,30.93,204,22-05-2025,28-05-2025
Tata Tea 6x250ml,264.37,395,331.66,267,22-05-2025,28-05-2025
Tata Oil 2kg,48.12,363,54.31,307,22-05-2025,28-05-2025
Surf Excel Tea 200g,224.05,256,244.2,190,22-05-2025,28-05-2025
Colgate Sanitizer 5kg,221.24,176,252.54,135,22-05-2025,28-05-2025
Parle Noodles 200g,260.34,323,311.29,249,22-05-2025,28-05-2025
Kellogg's Toothpaste 200g,30.14,219,36.3,161,22-05-2025,28-05-2025
Dettol Toothpaste 250g,68.03,186,76.34,119,22-05-2025,28-05-2025
Dettol Sanitizer 6x250ml,87.99,143,101.53,125,22-05-2025,28-05-2025
Haldiram Rice 1L,48.54,126,57.07,117,22-05-2025,28-05-2025
Colgate Oil 500g,139.89,224,179.62,222,22-05-2025,28-05-2025
Aashirvaad Energy Drink 500g,61.11,370,72.86,351,22-05-2025,28-05-2025
Surf Excel Sanitizer 500g,212.96,278,238.77,232,22-05-2025,28-05-2025
Haldiram Sanitizer 1kg,83.97,358,99.82,267,22-05-2025,28-05-2025
Horlicks Soap 750g,248.53,180,287.36,157,22-05-2025,28-05-2025
Pepsi Ketchup 5kg,216.45,260,264.55,186,22-05-2025,28-05-2025
Colgate Chocolate 1kg,31.78,239,37.23,146,22-05-2025,28-05-2025
Parle Toothpaste 6x250ml,70.3,211,91.61,130,22-05-2025,28-05-2025
Cadbury Chocolate 750g,234.71,231,259.61,213,22-05-2025,28-05-2025
Haldiram Ketchup 500g,279.12,356,352.02,287,22-05-2025,28-05-2025
Nestlé Toothpaste 200g,269.82,222,296.24,194,22-05-2025,28-05-2025
Nescafé Chocolate 5kg,29.46,312,35.53,212,22-05-2025,28-05-2025
Amul Noodles 500g,35.58,172,40.05,171,22-05-2025,28-05-2025
