Product_Name,Price_Bought,Quantity_Bought,Price_Sold,Quantity_Sold,Start_Date,End_Date
DMart Premia Sugar,310,217,286.74,196,08-03-2025,14-03-2025
DMart Premia Groundnut,121,174,121.81,124,08-03-2025,14-03-2025
DMart Premia Badam (Almonds),670,416,644.94,356,08-03-2025,14-03-2025
DMart Premia Jeera,108,283,103.55,222,08-03-2025,14-03-2025
DMart Premia Poha Jada,86,285,82.99,206,08-03-2025,14-03-2025
DMart Premia Regular Kaju (Cashews) - 320,706,318,645.4,267,08-03-2025,14-03-2025
Premium Jaggery,90,160,87.65,112,08-03-2025,14-03-2025
DMart Premia Kismis Indian (Raisins),281,234,271.16,198,08-03-2025,14-03-2025
DMart Premia Green Elaichi,326,438,302.84,404,08-03-2025,14-03-2025
DMart Premia Til White,127,237,113.93,225,08-03-2025,14-03-2025
DMart Premia Sabudana,77,295,74.76,239,08-03-2025,14-03-2025
DMart Premia Green Elaichi Economy,58,325,56.47,292,08-03-2025,14-03-2025
DMart Premia Akrod Magaj (Walnut Kernels),300,380,306.71,339,08-03-2025,14-03-2025
DMart Premia Black Pepper,172,260,166.9,241,08-03-2025,14-03-2025
DMart Premia Pista Plain (Pistachios),358,366,361.02,361,08-03-2025,14-03-2025
DMart Premia Dry Coconut,285,236,298.04,200,08-03-2025,14-03-2025
Keshar Premium Natural Jaggery Jar,125,194,112.74,193,08-03-2025,14-03-2025
DMart Premia Daliya,98,435,93.64,388,08-03-2025,14-03-2025
DMart Premia Dhaniya,141,181,143.44,139,08-03-2025,14-03-2025
DMart Premia Anjeer (Figs),256,396,241.83,374,08-03-2025,14-03-2025
DMart Premia Haldi Powder,72,343,74.66,257,08-03-2025,14-03-2025
DMart Premia Badishep,126,412,131.54,347,08-03-2025,14-03-2025
DMart Premia Kaju Tukda (Cashews),376,432,352.62,383,08-03-2025,14-03-2025
Date Crown Fard (Khajur),315,337,318.05,271,08-03-2025,14-03-2025
DMart Premia Kashmiri Chilli Powder,705,333,642.84,286,08-03-2025,14-03-2025
Mamra (Puffed Rice),60,179,58.11,158,08-03-2025,14-03-2025
DMart Premia Khas Khas,102,192,105.74,185,08-03-2025,14-03-2025
DMart Premia Lukhnowi Badishep,78,380,80.27,314,08-03-2025,14-03-2025
DMart Premia Coconut Powder,127,231,128.89,192,08-03-2025,14-03-2025
DMart Premia Cassia Taj,94,234,88.79,188,08-03-2025,14-03-2025
DMart Premia Kashmiri Chilli Powder Deluxe,380,278,392.12,203,08-03-2025,14-03-2025
DMart Premia Ajma,48,220,49.65,205,08-03-2025,14-03-2025
DMart Premia Emli,161,176,153.61,156,08-03-2025,14-03-2025
Jaggery,90,355,79.53,347,08-03-2025,14-03-2025
DMart Premia Lawang,47,193,42.86,161,08-03-2025,14-03-2025
DMart Premia Poha Patla,55,436,46.83,347,08-03-2025,14-03-2025
DMart Premia Rai Small,33,160,32.42,119,08-03-2025,14-03-2025
DMart Premia Rai,30,150,27.51,105,08-03-2025,14-03-2025
DMart Premia Guntur Chilli,41,348,40.4,252,08-03-2025,14-03-2025
DMart Premia Jeera Powder Deluxe,52,303,45.24,212,08-03-2025,14-03-2025
DMart Premia Pista Salty (Pistachio),400,293,348.59,266,08-03-2025,14-03-2025
DMart Premia Kismis Black,68,310,63.12,306,08-03-2025,14-03-2025
DMart Premia Kaju Special (Cashews) - 240,780,335,768.96,287,08-03-2025,14-03-2025
DMart Premia Dhania Powder Deluxe,150,257,140.17,196,08-03-2025,14-03-2025
