Product_Name,Price_Bought,Quantity_Bought,Price_Sold,Quantity_Sold,Start_Date,End_Date
DMart Premia Sugar,310,127,295.46,103,15-03-2025,21-03-2025
DMart Premia Groundnut,121,148,117.35,110,15-03-2025,21-03-2025
DMart Premia Badam (Almonds),670,180,644.49,175,15-03-2025,21-03-2025
DMart Premia Jeera,108,162,94.92,134,15-03-2025,21-03-2025
DMart Premia Poha Jada,86,162,78.95,159,15-03-2025,21-03-2025
DMart Premia Regular Kaju (Cashews) - 320,706,345,705.87,303,15-03-2025,21-03-2025
Premium Jaggery,90,325,90.15,258,15-03-2025,21-03-2025
DMart Premia Kismis Indian (Raisins),281,129,280.06,113,15-03-2025,21-03-2025
DMart Premia Green Elaichi,326,171,286.96,150,15-03-2025,21-03-2025
DMart Premia Til White,127,193,117.39,175,15-03-2025,21-03-2025
DMart Premia Sabudana,77,289,70.42,230,15-03-2025,21-03-2025
DMart Premia Green Elaichi Economy,58,193,51.35,136,15-03-2025,21-03-2025
DMart Premia Akrod Magaj (Walnut Kernels),300,327,294.93,242,15-03-2025,21-03-2025
DMart Premia Black Pepper,172,292,155.16,244,15-03-2025,21-03-2025
DMart Premia Pista Plain (Pistachios),358,84,331.76,71,15-03-2025,21-03-2025
DMart Premia Dry Coconut,285,225,292.61,171,15-03-2025,21-03-2025
Keshar Premium Natural Jaggery Jar,125,112,106.29,111,15-03-2025,21-03-2025
DMart Premia Daliya,98,187,85.44,144,15-03-2025,21-03-2025
DMart Premia Dhaniya,141,169,147.27,126,15-03-2025,21-03-2025
DMart Premia Anjeer (Figs),256,160,233.38,133,15-03-2025,21-03-2025
DMart Premia Haldi Powder,72,295,75.18,286,15-03-2025,21-03-2025
DMart Premia Badishep,126,129,116.94,124,15-03-2025,21-03-2025
DMart Premia Kaju Tukda (Cashews),376,155,324.45,124,15-03-2025,21-03-2025
Date Crown Fard (Khajur),315,139,276.63,102,15-03-2025,21-03-2025
DMart Premia Kashmiri Chilli Powder,705,143,726.44,111,15-03-2025,21-03-2025
Mamra (Puffed Rice),60,311,58.32,246,15-03-2025,21-03-2025
DMart Premia Khas Khas,102,315,87.44,245,15-03-2025,21-03-2025
DMart Premia Lukhnowi Badishep,78,327,75.02,297,15-03-2025,21-03-2025
DMart Premia Coconut Powder,127,290,108.02,248,15-03-2025,21-03-2025
DMart Premia Cassia Taj,94,209,84.09,172,15-03-2025,21-03-2025
DMart Premia Kashmiri Chilli Powder Deluxe,380,143,342.79,120,15-03-2025,21-03-2025
DMart Premia Ajma,48,113,49.33,82,15-03-2025,21-03-2025
DMart Premia Emli,161,319,149.5,317,15-03-2025,21-03-2025
Jaggery,90,135,84.69,101,15-03-2025,21-03-2025
DMart Premia Lawang,47,300,40.65,262,15-03-2025,21-03-2025
DMart Premia Poha Patla,55,242,53.73,216,15-03-2025,21-03-2025
DMart Premia Rai Small,33,238,34.19,174,15-03-2025,21-03-2025
DMart Premia Rai,30,125,26.49,109,15-03-2025,21-03-2025
DMart Premia Guntur Chilli,41,194,40.69,191,15-03-2025,21-03-2025
DMart Premia Jeera Powder Deluxe,52,174,51.41,128,15-03-2025,21-03-2025
DMart Premia Pista Salty (Pistachio),400,135,405.55,133,15-03-2025,21-03-2025
DMart Premia Kismis Black,68,185,63.86,183,15-03-2025,21-03-2025
DMart Premia Kaju Special (Cashews) - 240,780,325,812.81,284,15-03-2025,21-03-2025
DMart Premia Dhania Powder Deluxe,150,163,147.33,129,15-03-2025,21-03-2025
DMart Premia Roasted Badishep,30,90,26.0,86,15-03-2025,21-03-2025
DMart Premia Poha Basmati,74,111,71.92,103,15-03-2025,21-03-2025
DMart Premia Kasoori Methi,86,286,85.61,229,15-03-2025,21-03-2025
DMart Premia Sabudana Small,44,186,40.13,164,15-03-2025,21-03-2025
DMart Premia Soyawadi,31,129,28.63,120,15-03-2025,21-03-2025
DMart Premia Star Anise (Badiyan),149,277,148.9,222,15-03-2025,21-03-2025
DMart Premia Masala Elaichi,498,190,437.09,180,15-03-2025,21-03-2025
DMart Premia Til Black,76,219,78.39,157,15-03-2025,21-03-2025
DMart Premia Black Pepper Powder,170,316,162.84,290,15-03-2025,21-03-2025
DMart Premia Methi,15,327,13.98,308,15-03-2025,21-03-2025
DMart Premia Red Dried Dates (Kharik),272,187,266.13,142,15-03-2025,21-03-2025
DMart Premia Haldi Powder Deluxe,215,86,224.81,81,15-03-2025,21-03-2025
DMart Premia Mixed Dry Fruits,396,154,403.65,133,15-03-2025,21-03-2025
DMart Premia Dhania Powder,53,158,54.93,115,15-03-2025,21-03-2025
DMart Premia Garam Masala Powder Deluxe,72,168,66.13,151,15-03-2025,21-03-2025
Date Crown Bumaan Dates,155,188,136.33,134,15-03-2025,21-03-2025
DMart Premia Chilli Kashmiri,98,120,88.73,94,15-03-2025,21-03-2025
DMart Premia Alsi,17,272,15.79,270,15-03-2025,21-03-2025
DMart Premia Dhaniya Dal,49,280,45.57,234,15-03-2025,21-03-2025
DMart Premia Dinkh (Edible Gum),59,207,56.91,155,15-03-2025,21-03-2025
DMart Premia Dhania Jeera Mix Khandela,68,159,62.44,129,15-03-2025,21-03-2025
DMart Premia Jaipatri (Mace),160,112,144.7,96,15-03-2025,21-03-2025
DMart Premia Malwani Masala Deluxe,135,251,134.9,224,15-03-2025,21-03-2025
Kolhapuri Surati Kurmura,80,154,69.58,133,15-03-2025,21-03-2025
DMart Premia Soyabean,69,106,68.26,98,15-03-2025,21-03-2025
DMart Premia Sugar Crystals (Khadi Shakkar),25,100,21.64,74,15-03-2025,21-03-2025
DMart Premia Bedgi Chilli,65,98,56.55,76,15-03-2025,21-03-2025
DMart Premia Amsul Wet Kokam,163,303,143.21,291,15-03-2025,21-03-2025
DMart Premia Ginger Powder,73,184,71.56,129,15-03-2025,21-03-2025
Emperor Royal Peacock Seeded Dates (Khajur),150,200,143.58,173,15-03-2025,21-03-2025
DMart Premia Tej Patta,32,247,29.73,206,15-03-2025,21-03-2025
DMart Premia Sugar Candy,34,235,29.88,217,15-03-2025,21-03-2025
DMart Premia Kismis Selected (Raisins),229,70,208.4,64,15-03-2025,21-03-2025
Falcon Zahdi Dates Seedless,160,239,136.43,183,15-03-2025,21-03-2025
Falcon UAE Dates Seedless (Khajur),200,284,171.82,251,15-03-2025,21-03-2025
DMart Premia Sabja (Basil Seeds),39,191,36.64,170,15-03-2025,21-03-2025
DMart Premia Kaju (Cashews) - 210,216,272,200.76,243,15-03-2025,21-03-2025
DMart Premia Jaifal,68,128,70.49,92,15-03-2025,21-03-2025
DMart Premia Kalvanji,52,217,48.4,175,15-03-2025,21-03-2025
DMart Premia Eating Soda,24,237,24.33,235,15-03-2025,21-03-2025
DMart Premia Dry Ginger (Sunth),84,170,82.55,119,15-03-2025,21-03-2025
Emperor Dates - Deseeded Dates,170,142,162.18,116,15-03-2025,21-03-2025
DMart Premia Kokam Rind Lonavala,131,228,127.97,225,15-03-2025,21-03-2025
Zele Kolhapuri Bhadang Kurmura Sadha,45,256,41.77,215,15-03-2025,21-03-2025
DMart Premia Reshampatti Chilli Khandela,220,74,226.73,64,15-03-2025,21-03-2025
Emperor Dates - Dates with Seed,110,165,110.79,154,15-03-2025,21-03-2025
Falcon Aqaba Dates,150,85,138.43,83,15-03-2025,21-03-2025
Falcon UAE Dates Seeded,165,193,165.82,174,15-03-2025,21-03-2025
DMart Premia Sunday Mix Masala,133,124,125.24,94,15-03-2025,21-03-2025
DMart Premia Sakariya,24,260,20.69,247,15-03-2025,21-03-2025
DMart Premia Halim,28,202,29.37,165,15-03-2025,21-03-2025
Dates Crown Deseeded Black Dates (Khajur),180,98,182.23,71,15-03-2025,21-03-2025
DMart Premia Jardalu,100,156,94.93,120,15-03-2025,21-03-2025
DMart Premia Dagad Phool (Black Stone Flower),72,306,63.91,217,15-03-2025,21-03-2025
DMart Premia Dhania Khandela,53,96,48.98,86,15-03-2025,21-03-2025
DMart Premia Nimbu Phool (Citric Acid),19,203,19.14,199,15-03-2025,21-03-2025
DMart Premia Black Dried Dates (Kharik),159,88,156.74,72,15-03-2025,21-03-2025
DMart Premia Mix Masala,135,245,133.75,208,15-03-2025,21-03-2025
DMart Premia Chana Dal,130,114,132.85,99,15-03-2025,21-03-2025
DMart Swaad Chana Dal,105,103,100.07,75,15-03-2025,21-03-2025
Tata Sampann Chana Dal,75,194,67.32,155,15-03-2025,21-03-2025
DMart Healthy Choice Unpolished Chana Dal,139,190,131.63,185,15-03-2025,21-03-2025
Tata Sampann 100% Organic Unpolished Chana Dal,230,169,215.1,128,15-03-2025,21-03-2025
Satyam Chana Dal,90,299,89.95,276,15-03-2025,21-03-2025
DMart Premia Moong Dal,183,235,172.64,177,15-03-2025,21-03-2025
DMart Swaad Moong Dal,153,323,138.12,266,15-03-2025,21-03-2025
Tata Sampann Moong Dal,205,321,183.02,264,15-03-2025,21-03-2025
DMart Premia Moong Dal Chilti,177,325,180.54,273,15-03-2025,21-03-2025
Tata Sampann Moong Chilka,94,206,96.57,163,15-03-2025,21-03-2025
Satyam Moong Dal,129,278,135.16,195,15-03-2025,21-03-2025
DMart Healthy Choice Unpolished Moong Dal,207,296,180.66,257,15-03-2025,21-03-2025
Tata Sampann 100% Organic Unpolished Moong Dal,270,276,259.22,247,15-03-2025,21-03-2025
Organic Tattva Moong Dal Yellow Split,310,234,266.2,179,15-03-2025,21-03-2025
Satyam Moong Chilti,126,93,121.34,80,15-03-2025,21-03-2025
Organic Tattva Moong Dal Whole,145,144,147.07,133,15-03-2025,21-03-2025
Tata Sampann Unpolished Toor Dal,224,113,208.22,81,15-03-2025,21-03-2025
DMart Swaad Toor Dal,156,70,163.69,60,15-03-2025,21-03-2025
DMart Premia Tur Dal Latur,187,322,184.99,282,15-03-2025,21-03-2025
DMart Premia Tur Dal Premium Gujarat,113,132,105.57,101,15-03-2025,21-03-2025
Tata Sampann 100% Organic Unpolished Toor Dal,290,131,303.12,101,15-03-2025,21-03-2025
Satyam Tur (Toor) Dal,136,106,132.87,102,15-03-2025,21-03-2025
Organic Tattva Arhar Tur Dal,365,93,360.81,79,15-03-2025,21-03-2025
DMart Healthy Choice Unpolished Toor Dal,218,204,200.2,186,15-03-2025,21-03-2025
Satyam Toor Dal Oily,139,146,131.21,113,15-03-2025,21-03-2025
Toor Dal Oily,800,117,818.96,83,15-03-2025,21-03-2025
DMart Premia Udid (Urad) Dal,205,225,190.96,186,15-03-2025,21-03-2025
DMart Swaad Urad Dal,154,229,133.8,207,15-03-2025,21-03-2025
Tata Sampann Urad Dal,235,197,226.72,154,15-03-2025,21-03-2025
DMart Premia Udid (Urad) Dal Chilti,98,308,94.71,281,15-03-2025,21-03-2025
DMart Premia Urad Dal Premium,126,343,124.81,260,15-03-2025,21-03-2025
Satyam Udid (Urad) Dal,136,214,120.02,186,15-03-2025,21-03-2025
Organic Tattva Urad Dal Whole White,175,272,170.58,214,15-03-2025,21-03-2025
Tata Sampann Organic Unpolished Urad Dal,150,332,146.62,292,15-03-2025,21-03-2025
Organic Tattva Urad Dal White Split,170,326,154.01,239,15-03-2025,21-03-2025
