Product_Name,Price_Bought,Quantity_Bought,Price_Sold,Quantity_Sold,Start_Date,End_Date
DMart Premia Sugar,310,556,270.46,491,22-03-2025,28-03-2025
DMart Premia Groundnut,121,513,112.48,483,22-03-2025,28-03-2025
DMart Premia Badam (Almonds),670,519,678.69,438,22-03-2025,28-03-2025
DMart Premia Jeera,108,371,97.23,292,22-03-2025,28-03-2025
DMart Premia Poha Jada,86,297,78.19,263,22-03-2025,28-03-2025
DMart Premia Regular Kaju (Cashews) - 320,706,223,649.39,192,22-03-2025,28-03-2025
Premium Jaggery,90,432,94.44,342,22-03-2025,28-03-2025
DMart Premia Kismis Indian (Raisins),281,244,260.95,211,22-03-2025,28-03-2025
DMart Premia Green Elaichi,326,536,326.27,500,22-03-2025,28-03-2025
DMart Premia Til White,127,475,118.72,380,22-03-2025,28-03-2025
DMart Premia Sabudana,77,412,74.7,367,22-03-2025,28-03-2025
DMart Premia Green Elaichi Economy,58,471,52.29,448,22-03-2025,28-03-2025
DMart Premia Akrod Magaj (Walnut Kernels),300,517,298.07,455,22-03-2025,28-03-2025
DMart Premia Black Pepper,172,590,148.72,525,22-03-2025,28-03-2025
DMart Premia Pista Plain (Pistachios),358,548,359.43,472,22-03-2025,28-03-2025
DMart Premia Dry Coconut,285,586,273.25,471,22-03-2025,28-03-2025
Keshar Premium Natural Jaggery Jar,125,462,118.88,345,22-03-2025,28-03-2025
DMart Premia Daliya,98,463,89.44,356,22-03-2025,28-03-2025
DMart Premia Dhaniya,141,247,135.32,190,22-03-2025,28-03-2025
DMart Premia Anjeer (Figs),256,503,254.38,468,22-03-2025,28-03-2025
DMart Premia Haldi Powder,72,302,74.02,291,22-03-2025,28-03-2025
DMart Premia Badishep,126,290,115.43,257,22-03-2025,28-03-2025
DMart Premia Kaju Tukda (Cashews),376,572,323.83,514,22-03-2025,28-03-2025
Date Crown Fard (Khajur),315,590,312.09,518,22-03-2025,28-03-2025
DMart Premia Kashmiri Chilli Powder,705,483,723.98,422,22-03-2025,28-03-2025
Mamra (Puffed Rice),60,575,56.04,530,22-03-2025,28-03-2025
DMart Premia Khas Khas,102,582,90.39,462,22-03-2025,28-03-2025
DMart Premia Lukhnowi Badishep,78,440,67.4,308,22-03-2025,28-03-2025
DMart Premia Coconut Powder,127,448,129.13,373,22-03-2025,28-03-2025
DMart Premia Cassia Taj,94,205,85.8,168,22-03-2025,28-03-2025
DMart Premia Kashmiri Chilli Powder Deluxe,380,447,369.32,350,22-03-2025,28-03-2025
DMart Premia Ajma,48,392,43.81,387,22-03-2025,28-03-2025
DMart Premia Emli,161,243,153.5,178,22-03-2025,28-03-2025
Jaggery,90,391,85.52,372,22-03-2025,28-03-2025
DMart Premia Lawang,47,528,46.26,429,22-03-2025,28-03-2025
DMart Premia Poha Patla,55,263,49.68,191,22-03-2025,28-03-2025
DMart Premia Rai Small,33,548,28.32,490,22-03-2025,28-03-2025
DMart Premia Rai,30,265,27.19,224,22-03-2025,28-03-2025
DMart Premia Guntur Chilli,41,468,42.21,410,22-03-2025,28-03-2025
DMart Premia Jeera Powder Deluxe,52,398,53.95,316,22-03-2025,28-03-2025
DMart Premia Pista Salty (Pistachio),400,369,366.01,316,22-03-2025,28-03-2025
DMart Premia Kismis Black,68,520,71.06,453,22-03-2025,28-03-2025
DMart Premia Kaju Special (Cashews) - 240,780,424,677.71,400,22-03-2025,28-03-2025
DMart Premia Dhania Powder Deluxe,150,398,135.45,322,22-03-2025,28-03-2025
DMart Premia Roasted Badishep,30,596,31.14,456,22-03-2025,28-03-2025
DMart Premia Poha Basmati,74,247,66.29,225,22-03-2025,28-03-2025
DMart Premia Kasoori Methi,86,541,78.34,404,22-03-2025,28-03-2025
DMart Premia Sabudana Small,44,550,46.11,425,22-03-2025,28-03-2025
DMart Premia Soyawadi,31,464,30.48,453,22-03-2025,28-03-2025
DMart Premia Star Anise (Badiyan),149,252,135.07,232,22-03-2025,28-03-2025
DMart Premia Masala Elaichi,498,420,472.84,303,22-03-2025,28-03-2025
DMart Premia Til Black,76,386,67.38,292,22-03-2025,28-03-2025
DMart Premia Black Pepper Powder,170,455,158.83,378,22-03-2025,28-03-2025
DMart Premia Methi,15,393,13.86,292,22-03-2025,28-03-2025
DMart Premia Red Dried Dates (Kharik),272,335,274.88,242,22-03-2025,28-03-2025
DMart Premia Haldi Powder Deluxe,215,462,218.39,330,22-03-2025,28-03-2025
DMart Premia Mixed Dry Fruits,396,275,389.88,235,22-03-2025,28-03-2025
DMart Premia Dhania Powder,53,431,51.04,390,22-03-2025,28-03-2025
DMart Premia Garam Masala Powder Deluxe,72,344,62.99,296,22-03-2025,28-03-2025
Date Crown Bumaan Dates,155,507,137.94,448,22-03-2025,28-03-2025
